A,B,C,D,E,F,G,H,I,J,Sum,Mean
18,79,90,76,29,32,68,94,58,52,596,59.6
59,36,96,80,42,100,72,53,100,22,660,66
53,1,43,12,74,96,13,1,48,19,360,36
8,46,10,36,67,33,64,51,69,24,408,40.8
10,93,9,52,68,94,2,48,74,58,508,50.8
16,27,63,92,24,77,95,71,77,16,558,55.8
78,27,51,35,24,1,45,28,25,35,349,34.9
7,89,97,5,14,47,34,29,72,89,483,48.3
20,85,8,10,91,51,1,7,81,91,445,44.5
37,16,2,12,81,7,52,58,79,51,395,39.5
87,65,45,49,68,66,40,28,1,19,468,46.8
87,68,29,54,24,99,22,65,37,8,493,49.3
66,31,1,51,48,87,86,80,63,90,603,60.3
99,75,60,83,15,91,58,32,88,9,610,61
18,13,26,14,19,38,14,63,69,34,308,30.8
2,92,53,27,76,82,77,69,12,59,549,54.9
89,64,2,9,94,47,61,70,17,83,536,53.6
9,82,11,40,53,2,38,89,46,20,390,39
79,13,36,65,48,85,15,61,50,30,482,48.2
17,54,94,87,13,79,1,87,33,43,508,50.8
57,10,51,16,49,91,39,40,11,78,442,44.2
96,36,81,95,55,60,81,43,36,71,654,65.4
1,80,66,68,58,15,29,29,100,78,524,52.4
49,52,77,4,94,19,92,73,90,25,575,57.5
99,9,9,33,47,92,84,46,62,8,489,48.9
